year,desplazamiento,cilindros,co2,consumo_litros_milla,clase_tipo_Coche Familiar,clase_tipo_Coches Grandes,clase_tipo_Coches Medianos,clase_tipo_Coches pequeños,clase_tipo_Deportivos,clase_tipo_Furgoneta,clase_tipo_Vehículos Especiales,traccion_tipo_dos,transmision_tipo_Manual,combustible_tipo_Otros tipos de combustible,combustible_tipo_Premium,tamano_motor_tipo_mediano,tamano_motor_tipo_muy grande,tamano_motor_tipo_muy pequeño,tamano_motor_tipo_pequeño,consumo_tipo_bajo,consumo_tipo_moderado,consumo_tipo_muy alto,consumo_tipo_muy bajo,co2_tipo_bajo,co2_tipo_moderado,co2_tipo_muy alto,co2_tipo_muy bajo,cluster
-1.0596620508481471,-0.4113111721518546,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-1.0596620508481471,-0.4113111721518546,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.9624060530460168,-0.0161365063136494,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.9624060530460168,-0.0161365063136494,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.8651500552438867,-0.0161365063136494,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.8651500552438867,-0.0161365063136494,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.7678940574417564,-0.0161365063136494,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.7678940574417564,-0.0161365063136494,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.7678940574417564,-0.0161365063136494,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.7678940574417564,-0.0161365063136494,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
